City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Conditions,Date
59,Jamestown,US,42.097,-79.2353,34.0,93,90,10.36,light snow,2021-01-17 16:29:17
60,Avarua,CK,-21.2078,-159.775,77.0,88,78,3.44,light rain,2021-01-17 16:29:17
61,Souillac,MU,-20.5167,57.5167,80.6,83,40,12.66,light rain,2021-01-17 16:29:17
62,Saldanha,ZA,-33.0117,17.9442,80.6,39,11,17.27,few clouds,2021-01-17 16:29:17
63,Saint George,US,37.1041,-113.5841,35.6,48,1,4.61,clear sky,2021-01-17 16:25:02
64,Minden,DE,52.2833,8.9167,33.8,80,89,5.75,overcast clouds,2021-01-17 16:28:37
65,Storforshei,NO,66.4043,14.5233,14.0,85,0,2.3,clear sky,2021-01-17 16:29:18
66,San Cristobal,VE,7.7669,-72.225,82.4,65,40,5.75,scattered clouds,2021-01-17 16:29:18
67,Khani,GE,41.9563,42.9566,51.8,82,90,9.22,overcast clouds,2021-01-17 16:29:18
68,Antipolo,PH,14.5864,121.1753,78.8,78,75,3.44,broken clouds,2021-01-17 16:29:18
69,Narsaq,GL,60.9167,-46.05,26.6,74,75,7.61,light snow,2021-01-17 16:28:10
70,Comodoro Rivadavia,AR,-45.8667,-67.5,75.2,41,0,9.22,clear sky,2021-01-17 16:29:18
71,Ribeira Grande,PT,38.5167,-28.7,62.6,94,75,25.32,heavy intensity rain,2021-01-17 16:29:18
72,Lompoc,US,34.6391,-120.4579,55.4,71,0,9.22,clear sky,2021-01-17 16:29:18
73,Marystown,CA,47.1666,-55.1483,38.35,94,100,24.32,light rain,2021-01-17 16:29:18
74,Thompson,CA,55.7435,-97.8558,-18.4,83,75,3.44,broken clouds,2021-01-17 16:29:18
75,Bluff,NZ,-46.6,168.3333,52.86,65,55,22.08,light rain,2021-01-17 16:29:18
76,Umm Lajj,SA,25.0213,37.2685,70.92,46,66,8.01,broken clouds,2021-01-17 16:29:18
77,Lure,FR,47.75,6.5,35.6,100,90,6.91,mist,2021-01-17 16:29:18
78,Flinders,AU,-34.5833,150.8552,64.99,76,77,3.0,broken clouds,2021-01-17 16:29:19
79,Bang Saphan,TH,11.2126,99.5117,73.09,87,15,2.28,few clouds,2021-01-17 16:29:19
80,Sao Joao Do Piaui,BR,-8.3581,-42.2467,91.94,38,100,8.08,overcast clouds,2021-01-17 16:29:19
81,Sola,VU,-13.8833,167.55,82.47,80,93,13.38,light rain,2021-01-17 16:29:19
82,Kapuskasing,CA,49.4169,-82.4331,3.2,85,90,8.05,overcast clouds,2021-01-17 16:29:19
83,Hilo,US,19.7297,-155.09,69.8,78,90,6.06,overcast clouds,2021-01-17 16:29:19
84,Nova Odesa,UA,47.3078,31.7851,9.75,92,95,5.91,overcast clouds,2021-01-17 16:29:19
85,Carmen,MX,18.6333,-91.8333,69.8,73,75,8.05,broken clouds,2021-01-17 16:24:57
86,Waingapu,ID,-9.6567,120.2641,79.7,78,99,3.29,moderate rain,2021-01-17 16:29:19
87,Castro,BR,-24.7911,-50.0119,70.95,86,100,11.07,overcast clouds,2021-01-17 16:28:21
88,Ust-Tsilma,RU,65.441,52.1498,-11.42,88,68,2.77,broken clouds,2021-01-17 16:29:19
89,Hambantota,LK,6.1241,81.1185,77.0,100,40,4.61,light rain,2021-01-17 16:26:59
90,Port Macquarie,AU,-31.4333,152.9167,63.0,94,88,1.99,overcast clouds,2021-01-17 16:29:19
91,Gualaquiza,EC,-3.4,-78.55,76.87,62,64,1.86,light rain,2021-01-17 16:29:20
92,Bosaso,SO,11.2842,49.1816,76.03,65,0,5.95,clear sky,2021-01-17 16:29:20
93,Port Alfred,ZA,-33.5906,26.891,71.01,85,9,13.44,clear sky,2021-01-17 16:29:20
94,Turukhansk,RU,65.8167,87.9833,-12.86,88,100,19.86,light snow,2021-01-17 16:29:20
95,Mersing,MY,2.4312,103.8405,78.8,73,99,16.11,overcast clouds,2021-01-17 16:29:20
96,Popondetta,PG,-8.7537,148.2534,74.64,92,93,2.48,overcast clouds,2021-01-17 16:29:20
97,Kununurra,AU,-15.7667,128.7333,84.2,89,42,2.3,scattered clouds,2021-01-17 16:29:20
98,Silvan,TR,38.1419,41.0081,46.4,87,75,4.61,heavy intensity rain,2021-01-17 16:29:20
99,Tarko-Sale,RU,64.9225,77.785,0.32,93,100,13.96,overcast clouds,2021-01-17 16:29:20
