City_ID,City,Country,Max Temp,Current Conditions,Lat,Lng,Hotel Name
261,Ghanzi,BW,87.3,overcast clouds,-21.5667,21.7833,Ghanzi Farmhouse
264,Imbituba,BR,89.6,few clouds,-28.24,-48.6703,Praia Hotel Imbituba
269,Saint-Philippe,RE,84.2,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
273,Padang,ID,77.0,moderate rain,-0.9492,100.3543,Mercure Padang
275,Araguari,BR,75.2,broken clouds,-18.6472,-48.1872,Big Executive Hotel - Araguari MG
277,Kandrian,PG,78.4,broken clouds,-6.2167,149.55,Kandrian Station
278,Gizo,SB,83.48,scattered clouds,-8.103,156.8419,Imagination Island
283,Talara,PE,87.8,clear sky,-4.5772,-81.2719,Hostal Oro Negro
287,Puerto Carreno,CO,89.42,clear sky,6.189,-67.4859,Casa Hotel Victoria
289,Arlit,NE,83.28,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
292,Akonolinga,CM,89.8,overcast clouds,3.7667,12.25,Le Diamant De Mireille
294,Dingle,PH,76.12,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
298,Tsabong,BW,89.92,few clouds,-26.0217,22.401,Springbok Motel
299,Bintulu,MY,77.0,scattered clouds,3.1667,113.0333,900 Boutique INN
301,Congomah,MU,81.0,scattered clouds,-20.1489,57.5908,Avi Boodia
303,Cartagena Del Chaira,CO,88.68,broken clouds,1.3349,-74.8429,HOTEL LA ROCA
307,Grand Gaube,MU,81.0,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
308,Saint-Pierre,RE,84.2,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
310,Linhares,BR,89.31,broken clouds,-19.3911,-40.0722,Hotel Conceição
312,Torres,BR,82.76,light rain,-29.3353,-49.7269,Farol Hotel
316,Labuhan,ID,78.66,moderate rain,-6.8844,112.2051,PT PPI Lamongan Tambak C
318,Sao Joao Da Barra,BR,87.8,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
320,Alta Floresta,BR,78.8,light rain,-9.8756,-56.0861,Floresta Amazonica Hotel
321,Dakar,SN,75.2,clear sky,14.6937,-17.4441,Novotel Dakar
322,Jacareacanga,BR,87.87,light rain,-6.2222,-57.7528,Casa do Ian😎
329,Hukuntsi,BW,89.29,overcast clouds,-24.0,21.75,Entabeni Hotel
330,Pucallpa,PE,82.4,broken clouds,-8.3791,-74.5539,Hotel Sol de Oriente - Pucallpa
336,Kismayo,SO,78.03,overcast clouds,-0.3582,42.5454,Agan-Hotel
337,Moron,AR,81.0,clear sky,-34.6534,-58.6198,Hotel Morón
339,Fomboni,KM,83.39,clear sky,-12.28,43.7425,Auberge les abou
343,Fayaoue,NC,81.09,overcast clouds,-20.65,166.5333,Chez Dydyce Guesthouse
346,Cabedelo,BR,87.8,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
354,Namatanai,PG,79.92,broken clouds,-3.6667,152.4333,Namatanai Hotel
357,Correntina,BR,81.54,overcast clouds,-13.3433,-44.6367,Hotel Pousada dos Sonhos
360,Bengkulu,ID,77.31,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
362,Bubaque,GW,77.56,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
365,Kirakira,SB,80.58,scattered clouds,-10.4544,161.9205,SanBiz Lodge
366,Mana,GF,82.22,broken clouds,5.6592,-53.7767,LE SAMANA
368,Emerald,AU,77.0,scattered clouds,-23.5333,148.1667,The Irish Village
372,Luganville,VU,80.15,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
374,Baracoa,CU,80.71,overcast clouds,20.3467,-74.4958,Hostal Rio Miel
375,Aguada,PR,84.99,clear sky,18.3794,-67.1882,Hotel Colombus
376,Batticaloa,LK,78.8,overcast clouds,7.7102,81.6924,Grand Star Guest House
379,Wewak,PG,81.18,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
381,Geraldton,AU,86.0,light rain,-28.7667,114.6,Broadwater Mariner Resort
383,Kudahuvadhoo,MV,82.08,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
388,Songea,TZ,84.2,light rain,-10.6833,35.65,mtakuja
390,Hobyo,SO,77.09,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
395,Anito,PH,78.31,overcast clouds,12.4497,125.2886,The Yellow House
396,Morondava,MG,85.24,scattered clouds,-20.2833,44.2833,La Case Bambou
401,Reconquista,AR,77.54,overcast clouds,-29.15,-59.65,Grand Hotel
403,Vao,NC,76.78,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
410,Richards Bay,ZA,76.98,broken clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
415,Atar,MR,78.8,sand,20.5169,-13.0499,Oumou Elghoura
416,Takoradi,GH,83.21,light rain,4.8845,-1.7554,Raybow International Hotel
417,Piracanjuba,BR,75.97,light rain,-17.3028,-49.0167,Casas Luci
419,Santiago Del Estero,AR,82.99,few clouds,-27.7951,-64.2615,Hotel Urbano
433,Mahibadhoo,MV,82.4,clear sky,3.7833,72.9667,Omadhoo Inn
434,Ambanja,MG,79.18,moderate rain,-13.6833,48.45,Hotel Salama and Fast Food
437,Zambezi,ZM,77.38,overcast clouds,-13.5432,23.1047,Royal Kutachika Lodge
438,Kulhudhuffushi,MV,81.82,clear sky,6.6221,73.07,Haajy Guest House 1
444,Gwanda,ZW,78.06,moderate rain,-20.9333,29.0,Mafax Homeways
445,Jibuti,DJ,77.0,clear sky,11.5,42.5,Orchid Main Camp Goubet
446,Gurupi,BR,85.86,light rain,-11.7292,-49.0686,Via Norte Hotel
458,Tual,ID,82.72,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
461,Camabatela,AO,75.11,few clouds,-8.1881,15.375,Pensão E Restaurantes
465,Mancora,PE,87.8,clear sky,-4.1078,-81.0475,Máncora Marina Hotel
467,Huarmey,PE,75.9,scattered clouds,-10.0681,-78.1522,Hotel Miramar
470,San Policarpo,PH,79.68,overcast clouds,12.1791,125.5072,JM Lodge
471,Vung Tau,VN,75.07,overcast clouds,10.345999999999998,107.0843,Seaside Resort
472,Sinjai,ID,75.79,overcast clouds,-5.1241,120.25299999999999,Wisma Sandika
473,Porto Nacional,BR,86.0,scattered clouds,-10.7081,-48.4172,Vila Real Hotel
478,Teyateyaneng,LS,76.55,clear sky,-29.1472,27.7489,Blue Mountain Inn
479,Angoche,MZ,83.12,light rain,-16.2325,39.9086,Guest House HESADA
490,Carutapera,BR,88.5,scattered clouds,-1.195,-46.02,Lidera
491,Rocha,UY,75.18,broken clouds,-34.4833,-54.3333,Beleza Pura B&B
492,Pandan,PH,78.6,overcast clouds,14.0453,124.1694,Bonifacio Lodge
495,Jambi,ID,75.33,moderate rain,-1.6,103.6167,ASTON Jambi Hotel & Conference Center
497,Vila Do Maio,CV,78.8,few clouds,15.1333,-23.2167,Residence 'I Delfini'
498,Cayenne,GF,84.2,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
501,Banda Aceh,ID,78.75,heavy intensity rain,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
503,Tomatlan,MX,80.67,few clouds,19.9333,-105.25,Norma franco
507,Le Port,RE,80.6,clear sky,-20.9373,55.2919,Villa Maido
508,Cidreira,BR,82.58,overcast clouds,-30.1811,-50.2056,Hotel Castelo
509,Malindi,KE,78.53,scattered clouds,-3.2175,40.1191,African House Resort
510,Willowmore,ZA,80.4,clear sky,-33.2926,23.4895,Jumper's Place
511,Ariquemes,BR,82.85,broken clouds,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
513,Cacule,BR,85.68,scattered clouds,-14.5033,-42.2222,Radar Palace Hotel
514,Rio Claro,BR,84.2,broken clouds,-22.4114,-47.5614,Hotel Vivendas Rio Claro by Atlantica
517,Praya,CV,78.8,clear sky,14.9215,-23.5087,LT Aparthotel
523,Port Hedland,AU,86.0,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
524,Caucaia,BR,87.8,scattered clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
