City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Huarmey,PE,2021-01-17 03:01:51,-10.0681,-78.1522,71.1,82,100,6.76
68,Tuatapere,NZ,2021-01-17 03:01:52,-46.1333,167.6833,60.69,71,100,10.6
69,Falmouth,GB,2021-01-17 03:01:52,50.1544,-5.0711,46.4,70,75,11.5
70,Avarua,CK,2021-01-17 03:01:52,-21.2078,-159.775,84.2,70,40,4.61
71,Tuktoyaktuk,CA,2021-01-17 03:01:52,69.4541,-133.0374,-2.2,84,90,8.05
72,Punta Arenas,CL,2021-01-17 03:01:52,-53.15,-70.9167,51.8,76,0,14.97
73,Castro,BR,2021-01-17 02:57:28,-24.7911,-50.0119,65.88,96,100,6.55
74,Georgetown,MY,2021-01-17 03:01:52,5.4112,100.3354,84.2,78,20,4.61
75,Port Hardy,CA,2021-01-17 03:01:52,50.6996,-127.4199,44.6,87,90,5.75
76,Shitanjing,CN,2021-01-17 03:01:52,39.2342,106.3439,19.96,58,0,24.38
77,Saskylakh,RU,2021-01-17 03:01:52,71.9167,114.0833,-24.23,85,93,7.58
78,Homer,US,2021-01-17 02:59:11,59.6425,-151.5483,42.8,70,90,9.22
79,San Vicente,AR,2021-01-17 03:01:53,-26.6167,-54.1333,69.58,100,74,3.31
80,Qaanaaq,GL,2021-01-17 03:01:53,77.484,-69.3632,3.94,82,38,4.56
81,Bandarbeyla,SO,2021-01-17 03:01:53,9.4942,50.8122,72.43,75,0,9.84
82,Ambon,ID,2021-01-17 03:01:27,-3.6954,128.1814,87.8,70,40,3.44
83,Ndele,CF,2021-01-17 03:01:53,8.4109,20.6473,67.64,26,45,5.03
84,Broome,US,2021-01-17 03:01:53,42.2506,-75.833,32.0,86,1,11.5
85,Severo-Kurilsk,RU,2021-01-17 03:01:54,50.6789,156.125,33.53,92,100,4.5
86,Mataura,NZ,2021-01-17 03:01:54,-46.1927,168.8643,57.69,89,98,4.59
87,Puerto Ayora,EC,2021-01-17 03:01:54,-0.7393,-90.3518,73.99,96,65,3.0
88,Alice Springs,AU,2021-01-17 03:01:54,-23.7,133.8833,71.6,30,75,13.8
89,Kurtamysh,RU,2021-01-17 03:01:54,54.9103,64.4319,10.33,93,0,13.78
90,Narsaq,GL,2021-01-17 03:01:54,60.9167,-46.05,21.2,49,90,4.61
91,Mundi,IN,2021-01-17 03:01:54,22.0667,76.5,67.78,45,0,5.37
92,Pacific Grove,US,2021-01-17 03:01:54,36.6177,-121.9166,53.6,87,40,3.56
93,Port Alfred,ZA,2021-01-17 02:58:21,-33.5906,26.891,64.0,94,37,3.0
94,Labuhan,ID,2021-01-17 02:58:58,-6.8844,112.2051,82.13,77,97,7.49
95,Hobyo,SO,2021-01-17 03:01:55,5.3505,48.5268,75.87,79,43,15.73
96,Isangel,VU,2021-01-17 03:01:55,-19.55,169.2667,87.8,79,90,8.05
97,Marsh Harbour,BS,2021-01-17 03:01:55,26.5412,-77.0636,67.71,62,84,16.17
98,Rawson,AR,2021-01-17 03:01:33,-43.3002,-65.1023,58.12,59,0,12.1
99,Broken Hill,AU,2021-01-17 03:01:55,-31.95,141.4333,71.6,40,74,14.97
100,Cidreira,BR,2021-01-17 03:01:55,-30.1811,-50.2056,75.76,91,100,13.04
101,Langarud,IR,2021-01-17 02:59:09,37.197,50.1535,51.8,82,90,2.3
102,Okhotsk,RU,2021-01-17 03:01:55,59.3833,143.3,-13.68,81,50,14.16
103,Ranong,TH,2021-01-17 03:01:56,9.9658,98.6348,80.6,69,40,11.5
104,Nanortalik,GL,2021-01-17 03:01:56,60.1432,-45.2371,24.31,94,100,4.9
105,Kavieng,PG,2021-01-17 02:59:37,-2.5744,150.7967,84.96,72,51,17.09
106,Guerrero Negro,MX,2021-01-17 03:01:56,27.9769,-114.0611,63.86,52,0,9.89
107,Katsuura,JP,2021-01-17 03:01:56,35.1333,140.3,48.99,41,100,5.99
108,Turukhansk,RU,2021-01-17 03:01:56,65.8167,87.9833,-20.9,82,100,16.08
109,Neuquen,AR,2021-01-17 03:01:57,-38.9516,-68.0591,66.2,59,0,9.17
110,Kamaishi,JP,2021-01-17 03:01:57,39.2667,141.8833,32.0,80,75,4.61
111,Provideniya,RU,2021-01-17 03:01:57,64.3833,-173.3,-0.4,65,75,13.42
112,Baft,IR,2021-01-17 03:01:57,29.234,56.6057,34.2,72,0,0.25
113,Osakarovka,KZ,2021-01-17 03:01:57,50.565,72.5692,8.94,96,100,11.05
114,Aitape,PG,2021-01-17 03:01:58,-3.1374,142.3475,87.98,61,99,7.14
115,College,US,2021-01-17 03:01:58,64.8569,-147.8028,-4.0,77,75,4.61
116,Stromness,GB,2021-01-17 03:01:58,58.965,-3.296,42.8,87,75,27.63
117,Tula,RU,2021-01-17 03:01:58,54.2044,37.6111,-0.36,92,100,6.73
118,Clyde River,CA,2021-01-17 03:01:58,70.4692,-68.5914,3.2,92,90,28.77
119,Vardo,NO,2021-01-17 03:01:58,70.3705,31.1107,34.59,86,100,20.92
120,Dingle,PH,2021-01-17 03:01:59,10.9995,122.6711,80.46,85,100,12.59
121,Antigonish,CA,2021-01-17 03:01:59,45.6169,-61.9986,36.0,86,100,11.99
122,Vaini,TO,2021-01-17 03:01:59,-21.2,-175.2,86.0,84,75,10.36
123,Wufeng,CN,2021-01-17 03:01:59,27.45,104.8333,24.03,98,100,5.19
